,APINO,60_Interpol_OIL,90_Interpol_OIL,180_Interpol_OIL,365_Interpol_OIL,730_Interpol_OIL,60_Interpol_GAS,90_Interpol_GAS,180_Interpol_GAS,365_Interpol_GAS,730_Interpol_GAS,60_Interpol_WATER,90_Interpol_WATER,180_Interpol_WATER,365_Interpol_WATER,730_Interpol_WATER
0,49005218910000,12651,18957,33038,49331,88154,17115,25906,47016,75781,143294,220079,333098,662684,1123814,2142510
1,49005220590000,3162,4619,8317,12781,17277,3668,5471,9874,15860,22445,90783,132176,268567,444137,651132
2,49005224710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,49005225560000,824,1199,2228,4488,7367,1024,1573,3008,6436,10451,84264,122341,260516,511574,959374
4,49005225790000,0,0,0,0,133,0,0,0,0,1358,0,0,0,0,257
5,49005262230000,829,1060,1398,1720,1940,16498,21204,30914,45777,61121,2,3,6,12,22
6,49005262750000,5040,7459,14340,28465,56335,5760,9176,21442,46751,96685,0,0,0,0,0
7,49005278070000,0,0,0,108016,180621,0,0,0,22443,73324,0,0,0,103,336
8,49005280480000,5934,9336,17124,32568,71965,2477,4199,6924,15408,23898,0,0,0,0,26
9,49005282440000,4886,7295,14591,29588,59832,1527,2270,4540,9207,20053,-61,0,0,0,0
10,49005291080000,8227,12341,24683,50052,107958,1518,2277,4554,9236,19275,0,0,0,0,0
11,49005320490000,422,633,1266,2567,6194,312,468,936,1898,5141,0,0,0,0,0
12,49005320500000,750,1125,2250,12373,48971,310,465,930,6955,29634,10,15,30,135,500
13,49005325460000,5692,8538,17077,34629,71651,990,1485,2970,6022,14093,0,0,0,0,0
14,49005327860000,2520,3462,5414,9293,15892,65750,96671,184039,362809,642314,490,661,975,1590,2664
15,49005375190000,4853,7280,14560,23790,40069,91986,137980,275960,565845,1139893,346,520,1040,2022,3933
16,49005566360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,49005608890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,49005608930000,0,0,16601,46795,88609,0,0,126355,391071,904856,0,0,153,1258,12769
19,49005610150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,49005610860000,0,0,0,0,10334,0,0,0,0,7062,0,0,0,0,18494
21,49005611640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,49005611720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,49005611740000,0,0,0,33786,93510,0,0,0,272215,812685,0,0,0,521,7329
24,49005612010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,49005612030000,0,0,0,0,34495,0,0,0,0,351687,0,0,0,0,5098
26,49005612060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,49005612280000,0,0,0,0,25211,0,0,0,0,201559,0,0,0,0,952
28,49005612310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,49005613090000,0,0,0,0,42791,0,0,0,0,395568,0,0,0,0,801
30,49005613100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,49005613140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
